@relation polemon

@attribute grade {1, 2, 3}
@attribute city string
@attribute area string
@attribute chinese string
@attribute english string
@attribute math string
@attribute history string
@attribute geography string
@attribute citizen string
@attribute physics string
@attribute chemical string
@attribute biology string
@attribute earthscience string

@data
3,台北市,內湖區,翰林,三民,?,三民,龍騰,南一,龍騰,南一,?,全華
3,台北市,內湖區,翰林,三民,?,三民,龍騰,龍騰,康熹,泰宇,?,翰林
3,台北市,內湖區,龍騰,三民,?,三民,龍騰,龍騰,龍騰,泰宇,?,泰宇
3,台北市,文山區,?,?,?,?,?,?,?,?,?,?
3,台北市,文山區,翰林,龍騰,?,三民,龍騰,三民,翰林,泰宇,?,南一
3,台北市,文山區,翰林,遠東,?,南一,翰林,翰林,翰林,翰林,?,翰林
3,台北市,文山區,康熹,三民,?,三民,龍騰,三民,南一,翰林,?,翰林
3,台北市,文山區,翰林,遠東,?,南一,南一,南一,其他,其他,?,南一
3,台北市,文山區,康熹,三民,?,南一,龍騰,翰林,翰林,泰宇,?,全華
3,台北市,文山區,翰林,三民,?,翰林,翰林,龍騰,翰林,翰林,?,翰林
3,台北市,北投區,翰林,遠東,?,翰林,龍騰,龍騰,龍騰,翰林,?,翰林
3,台北市,北投區,翰林,三民,?,翰林,龍騰,龍騰,龍騰,泰宇,?,龍騰
3,台北市,北投區,龍騰,三民,?,三民,龍騰,龍騰,南一,翰林,?,全華
3,台北市,松山區,康熹,其他,?,翰林,翰林,三民,龍騰,翰林,?,泰宇
3,台北市,松山區,康熹,其他,?,翰林,龍騰,龍騰,龍騰,泰宇,?,南一
3,台北市,信義區,翰林,三民,?,翰林,龍騰,龍騰,南一,翰林,?,翰林
3,台北市,信義區,翰林,三民,?,三民,龍騰,翰林,康熹,泰宇,?,全華
3,台北市,信義區,翰林,遠東,?,翰林,龍騰,翰林,翰林,翰林,?,翰林
3,台北市,南港區,翰林,龍騰,?,翰林,龍騰,翰林,翰林,泰宇,?,康熹
3,台北市,南港區,翰林,?,?,其他,其他,其他,其他,泰宇,?,其他
3,台北市,萬華區,康熹,龍騰,?,南一,龍騰,龍騰,龍騰,龍騰,?,翰林
3,台北市,萬華區,康熹,龍騰,?,翰林,龍騰,南一,龍騰,翰林,?,翰林
1,台東縣,台東市,龍騰,三民,翰林,三民,龍騰,三民,龍騰,翰林,翰林,三民
2,台東縣,台東市,翰林,三民,南一,翰林,龍騰,龍騰,?,?,?,龍騰
2,台東縣,台東市,南一,三民,翰林,三民,龍騰,三民,?,?,?,泰宇
3,台東縣,台東市,翰林,三民,?,翰林,龍騰,翰林,翰林,康熹,?,翰林
3,台東縣,台東市,翰林,三民,?,三民,龍騰,三民,南一,康熹,?,康熹
1,台南市,中西區,三民,三民,龍騰,三民,翰林,南一,翰林,泰宇,康熹,南一
1,台南市,中西區,翰林,三民,翰林,翰林,翰林,龍騰,龍騰,龍騰,南一,泰宇
1,台南市,北區,康熹,三民,南一,泰宇,翰林,龍騰,翰林,龍騰,泰宇,康熹
1,台南市,北區,龍騰,三民,翰林,三民,龍騰,龍騰,翰林,龍騰,南一,泰宇
1,台南市,永康區,三民,龍騰,龍騰,三民,龍騰,龍騰,翰林,翰林,泰宇,南一
1,台南市,永康區,翰林,遠東,龍騰,龍騰,三民,龍騰,翰林,南一,南一,龍騰
1,台南市,永康區,翰林,三民,翰林,南一,翰林,三民,南一,翰林,南一,南一
1,台南市,安平區,翰林,三民,翰林,翰林,龍騰,三民,全華,南一,其他,其他
1,台南市,安南區,翰林,三民,龍騰,龍騰,南一,南一,翰林,翰林,翰林,康熹
1,台南市,安南區,三民,三民,龍騰,三民,龍騰,龍騰,康熹,南一,翰林,康熹
1,台南市,西港區,三民,三民,南一,泰宇,南一,龍騰,龍騰,泰宇,泰宇,南一
1,台南市,佳里區,龍騰,龍騰,南一,康熹,翰林,三民,翰林,南一,南一,康熹
1,台南市,東區,三民,遠東,龍騰,泰宇,翰林,翰林,龍騰,翰林,康熹,全華
1,台南市,東區,三民,三民,翰林,三民,翰林,翰林,龍騰,龍騰,龍騰,龍騰
1,台南市,東區,康熹,三民,南一,翰林,翰林,翰林,南一,龍騰,康熹,龍騰
1,台南市,南區,龍騰,三民,翰林,泰宇,泰宇,翰林,翰林,南一,翰林,泰宇
1,台南市,麻豆區,翰林,三民,其他,泰宇,翰林,三民,龍騰,翰林,其他,三民
1,台南市,善化區,翰林,龍騰,翰林,南一,龍騰,龍騰,南一,南一,翰林,三民
1,台南市,新化區,翰林,三民,龍騰,三民,翰林,龍騰,全華,南一,龍騰,康熹
1,台南市,新營區,翰林,三民,翰林,南一,翰林,南一,翰林,南一,南一,南一
1,台南市,新營區,翰林,三民,南一,三民,龍騰,翰林,南一,龍騰,龍騰,康熹
1,台南市,鹽水區,翰林,三民,南一,康熹,南一,南一,南一,南一,南一,南一
2,台南市,中西區,三民,遠東,龍騰,翰林,龍騰,龍騰,?,?,?,康熹
2,台南市,中西區,翰林,三民,南一,南一,龍騰,南一,?,?,?,泰宇
2,台南市,北區,翰林,三民,龍騰,三民,龍騰,南一,?,?,?,泰宇
2,台南市,北區,翰林,三民,龍騰,三民,龍騰,翰林,?,?,?,泰宇
2,台南市,永康區,三民,龍騰,龍騰,三民,翰林,龍騰,?,?,?,龍騰
2,台南市,永康區,翰林,遠東,南一,翰林,龍騰,龍騰,?,?,?,龍騰
2,台南市,永康區,南一,三民,龍騰,三民,翰林,龍騰,?,?,?,南一
2,台南市,安平區,翰林,三民,南一,三民,翰林,龍騰,?,?,?,康熹
2,台南市,安南區,康熹,三民,龍騰,三民,龍騰,南一,?,?,?,全華
2,台南市,安南區,三民,遠東,翰林,三民,龍騰,翰林,?,?,?,康熹
2,台南市,西港區,三民,三民,南一,三民,龍騰,三民,?,?,?,三民
2,台南市,佳里區,翰林,龍騰,龍騰,南一,三民,南一,?,?,?,南一
2,台南市,東區,龍騰,遠東,全華,三民,龍騰,翰林,?,?,?,泰宇
2,台南市,東區,三民,三民,龍騰,三民,龍騰,南一,?,?,?,康熹
2,台南市,東區,三民,三民,南一,泰宇,翰林,南一,?,?,?,康熹
2,台南市,南區,翰林,三民,翰林,翰林,南一,龍騰,?,?,?,全華
